,industry,naics,emp13_bay,emp16_bay,emp13_usa,emp16_usa
0,114///,114///,4,19,22172,34616
1,115///,115///,1381,1860,1363524,2007361
2,212///,212///,281,460,1794183,2234523
3,213///,213///,76,147,6287956,4550496
4,221///,221///,6483,4983,5330120,11588404
5,236///,236///,38562,46397,34084708,41897477
6,237///,237///,14245,15840,19703946,24896184
7,238///,238///,99136,119209,109704745,129899368
8,311///,311///,23433,24624,24698108,31220770
9,312///,312///,15851,19299,1397355,2419058
10,313///,313///,93,117,378491,524902
11,314///,314///,674,879,749912,920248
12,315///,315///,1656,1653,848796,799706
13,316///,316///,49,254,41530,51459
14,321///,321///,1561,2171,5221562,7687367
15,322///,322///,2163,2225,2120697,2749662
16,323///,323///,7908,7422,8398633,8944455
17,324///,324///,3362,3886,274767,515234
18,325///,325///,10533,11507,9846200,12007775
19,326///,326///,3571,4746,9117465,11338194
20,327///,327///,5034,5999,5889409,7885532
21,331///,331///,1707,1527,2627383,3219508
22,332///,332///,21727,22427,32713288,35565641
23,333///,333///,11518,11896,17168639,20090052
24,334///,334///,61467,61552,9793083,10611457
25,335///,335///,5559,8420,2340164,2987774
26,336///,336///,236,1162,13387554,20167913
27,337///,337///,3927,4856,4953649,6332557
28,339///,339///,11500,14057,9067639,10981751
29,423///,423///,138170,137612,100560729,106052187
30,424///,424///,57925,55957,67108459,73965880
31,425///,425///,7761,7658,5675968,7015178
32,441///,441///,31293,35462,53459385,60789539
33,442///,442///,10847,11032,10705931,12030798
34,443///,443///,12469,11524,8863132,9618295
35,444///,444///,24985,26585,36426699,41734263
36,445///,445///,75467,81498,88358793,102931218
37,446///,446///,22259,23229,29838012,32337386
38,447///,447///,9149,9720,25540238,29569304
39,448///,448///,51797,51557,45042295,46367523
40,451///,451///,13322,13834,12952672,14221344
41,452///,452///,44144,45398,63544828,83314342
42,453///,453///,17406,18722,21373446,23606721
43,454///,454///,16989,23717,15163933,18513109
44,481///,481///,16691,22192,2049997,4970982
45,483///,483///,1539,2203,138194,193036
46,484///,484///,14047,14477,38898416,44199722
47,485///,485///,10884,12670,8896359,10400703
48,487///,487///,829,1538,187709,232713
49,488///,488///,17558,17647,13645753,16075666
50,492///,492///,12121,16920,6002547,8535727
51,493///,493///,4552,6680,8957487,12228478
52,511///,511///,70873,95651,21729506,26578178
53,512///,512///,9653,10805,5939903,9038490
54,515///,515///,3122,3915,4635551,4872192
55,517///,517///,21477,28404,26040666,30384312
56,518///,518///,25742,45244,4740262,5607185
57,519///,519///,16207,83293,2055102,3522418
58,522///,522///,69548,76648,84374074,92301584
59,523///,523///,31889,35993,21938510,23932778
60,524///,524///,36394,41313,69850147,86086874
61,525///,525///,29,171,11705,15998
62,531///,531///,45006,48773,44754313,49631083
63,532///,532///,11193,12329,11563045,13125011
64,533///,533///,895,821,131387,164117
65,541///,541///,367078,401078,267595711,293759112
66,551///,551///,102127,137858,65917511,74823391
67,561///,561///,185673,192599,342129697,427916839
68,562///,562///,12517,13190,8319514,9572918
69,611///,611///,111768,121136,88637597,99690834
70,621///,621///,154986,176854,208068469,232306377
71,622///,622///,107619,117782,99883054,118072870
72,623///,623///,56093,57972,99256837,106423785
73,624///,624///,71716,79168,88959380,102540346
74,711///,711///,14136,17080,8392790,11101488
75,712///,712///,5380,5829,2318999,2747021
76,713///,713///,43352,44867,41886277,51064681
77,721///,721///,48919,54807,59494681,66157551
78,722///,722///,273722,317290,335404421,374458473
79,811///,811///,31471,33784,36012568,39454302
80,812///,812///,39507,43374,40982312,44800109
81,813///,813///,60458,61217,87601417,89888050
82,211///,211///,4,22,1091686,969662
83,486///,486///,49,158,138942,332880
84,113///,113///,18,18,758381,915070
85,521///,521///,0,0,0,0
